"기후기술분류별(1)",기후기술분류별(2),2013,2013,2013,2013,2013
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,187515,67971,67559,45675,6310
"감축",소계,175989,66682,64822,38412,6073
"감축",비재생에너지,3929,2011,173,1354,391
"감축",재생에너지,48567,15676,16086,13999,2806
"감축",신에너지,3900,1645,1281,931,43
"감축",에너지저장,33670,24547,3521,5561,41
"감축",송배전 및 에너지관리,5373,141,3020,1838,374
"감축",에너지수요,80214,22646,40663,14499,2406
"감축",온실가스 고정,338,17,80,229,12
"적응",소계,7279,71,451,6615,142
"적응",농업축산,1486,2,127,1288,69
"적응",물,5794,69,324,5327,74
"감축 및 적응 융복합",소계,4247,1218,2286,648,95
"감축 및 적응 융복합",감축 및 적응 융복합,4247,1218,2286,648,95
