"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,170123458,6976753,10302641,13965684,117872622,21005760
"감축",소계,154538820,5458914,8816865,13024364,113305498,13933179
"감축",비재생에너지,10446545,140263,240829,228645,1360490,8476319
"감축",재생에너지,16605228,1742743,2668879,3303267,8381834,508505
"감축",신에너지,11756352,137044,226848,27375,11365085,0
"감축",에너지저장,54714293,442886,1647673,1756739,50634424,232571
"감축",송배전&전력IT,13660758,446735,455301,640204,11473067,645451
"감축",에너지수요,45648146,2502351,3510682,6925672,28652228,4057214
"감축",온실가스 고정,1707498,46894,66654,142462,1438369,13119
"적응",소계,13796427,1419358,1287332,725937,3291221,7072581
"적응",농업&축산,4301301,450574,261322,239931,2616954,732521
"적응",물관리,9495126,968784,1026010,486006,674267,6340060
"융복합",소계,1788211,98481,198444,215383,1275903,0
"융복합",감축 및 적응 융복합,1788211,98481,198444,215383,1275903,0
