"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상
"합계",소계,32748715,886101,2032003,4451698,25378914
"감축",소계,30612616,717132,1913510,4329940,23652034
"감축",비재생에너지,128262,21540,16301,26864,63557
"감축",재생에너지,2718478,250764,546339,377333,1544041
"감축",신에너지,188219,55785,70661,0,61773
"감축",에너지저장,10847569,69051,500251,699095,9579172
"감축",송배전&전력IT,4975952,18439,23852,262393,4671268
"감축",에너지수요,11685328,278558,738388,2936159,7732223
"감축",온실가스 고정,68808,22995,17718,28095,-
"적응",소계,1567451,131337,112649,76153,1247313
"적응",농업&축산,1380736,96905,22036,53284,1208512
"적응",물관리,186715,34432,90613,22869,38801
"융복합",소계,568648,37632,5844,45605,479567
"융복합",감축 및 적응 융복합,568648,37632,5844,45605,479567
